source_message_id,chatid,target_message_id,text,Instrument name,Entry price 1,Entry price 2,Entry price 3,Entry price 4,Entry price 5,Take profit price 1,Take profit price 2,Take profit price 3,Take profit price 4,Take profit price 5,Stop loss price,Order Type
5662,'5492592958',3927,'CADJPY sell now @ 107.450 tp @ 106.950 tp 2 @ 105.950  Sl @ 107.950',CADJPY,107.450,,,,,106.950,105.950,,,,107.950,Sell now
1899,'5492592958',1823,'volatility 25 index sell limit @ 2168.0 tp @ 2152.0 tp2@ 2126.0 sl @ 2178.0',volatility 25 index,25,2168.0,,,,2152.0,2126.0,,,,2178.0,Sell limit
5663,'5492592958',3928,'NZDCAD buy limit @ 0.80040 tp @ 0.80600 tp 2 @ 0.081270  SL @ 0.79850 [ 19 PIPS ]',NZDCAD,0.80040,,,,,0.80600,0.081270,,,,0.79850,Buy limit
8287,'5492592958',4553,'EURAUD BUY NOW    @ 1.6780  TP : 1.6855 TP : 1.7020  SL : 1.6737',EURAUD,1.6780,,,,,1.6855,1.7020,,,,1.6737,Buy now
8288,'5492592958',4554,'USOIL SELL NOW   @ 79.90  TP : 78.85 TP : 77.57  SL : 80.50',USOIL,79.90,,,,,78.85,77.57,,,,80.50,Sell now
5666,'5492592958',3931,'AUDCAD will be the same',AUDCAD,,,,,,,,,,,,
8292,'5492592958',4556,'USOIL PRICE RUNNING AT THE MOMENT',USOIL,,,,,,,,,,,,
8293,'5492592958',4557,'Active and running in profit',,,,,,,,,,,,,
8294,'5492592958',4558,'GBPAUD BUY NOW    @ 1.9624  SL : 1.9575  TP : 1.9656 TP : 1.9698',GBPAUD,1.9624,,,,,1.9656,1.9698,,,,1.9575,Buy now
1900,'5492592958',1824,'GBPUSD buy limit @ 1.2603 tp @ 1.2657 tp2 @ 1.2727  SL @ 1.2575 28 pips)',GBPUSD,1.2603,,,,,1.2657,1.2727,,,,1.2575,Buy limit
8297,'5492592958',4561,'GBPUSD BUY LIMIT    @ 1.2603  TP : 1.2656 TP : 1.2725  SL : 1.2572',GBPUSD,1.2603,,,,,1.2656,1.2725,,,,1.2572,Buy limit
8299,'5492592958',4563,'58+ pips running  Save half profit Sl Shift at Entry',,,,,,,,,,,,,
